Carimbo de data/hora,TERMO DE CONSENTIMENTO LIVRE E ESCLARECIDO (TCLE),Informe seu vínculo com o curso de curso não informado do(a) Projeto 2:,Sexo:,Faixa etária:,Tempo de atuação/vínculo com o curso de curso não informado do(a) Projeto 2:,Causa da evasão: [C02. Baixo desempenho acadêmico: reprovações sucessivas, notas baixas, retenção, fracasso nas avaliações.],Causa da evasão: [C03. Conflito entre trabalho e estudo: necessidade de trabalhar, incompatibilidade de horários, cansaço, falta de licença do empregador.],Causa da evasão: [C04. Deficiência na formação básica anterior: lacunas do Ensino Médio/Fundamental, falta de conhecimentos básicos.],Causa da evasão: [C05. Dificuldades de aprendizagem e competências individuais: hábitos de estudo, gestão do tempo, autonomia, habilidades cognitivas.],Causa da evasão: [C09. Falta de motivação e expectativas frustradas: desencanto, falta de perspectiva, expectativas irreais sobre o curso/instituição.],Causa da evasão: [C12. Infraestrutura e gestão institucional deficientes: burocracia, falta de apoio/suporte, falhas de comunicação, precariedade física/tecnológica.],Causa da evasão: [C16. Problemas de saúde física e mental: estresse, ansiedade, depressão, esgotamento emocional.],Causa da evasão: [C17. Questões didático-pedagógicas e curriculares: currículo desatualizado/rígido, metodologia de ensino, carga horária excessiva.]
16/03/2026 04:44:01,Li e concordo em participar,(Ex-)coordenação,Masculino,40 anos ou mais,Mais de 10 anos,4,4,3,3,4,4,5,5
16/03/2026 04:45:01,Li e concordo em participar,(Ex-)coordenação,Masculino,40 anos ou mais,De 6 a 10 anos,5,5,3,3,5,4,4,5
16/03/2026 04:46:56,Li e concordo em participar,(Ex-)coordenação,Masculino,40 anos ou mais,De 2 a 5 anos,5,4,4,4,4,5,5,5
16/03/2026 04:49:01,Li e concordo em participar,(Ex-)coordenação,Feminino,40 anos ou mais,Mais de 10 anos,5,4,4,5,5,5,5,5
16/03/2026 04:50:41,Li e concordo em participar,(Ex-)coordenação,Masculino,40 anos ou mais,De 2 a 5 anos,5,5,4,3,4,4,4,4
16/03/2026 04:51:59,Li e concordo em participar,(Ex-)coordenação,Feminino,40 anos ou mais,De 2 a 5 anos,4,5,3,4,5,5,4,4
16/03/2026 04:53:13,Li e concordo em participar,(Ex-)coordenação,Feminino,40 anos ou mais,Mais de 10 anos,4,4,4,5,4,5,4,4
16/03/2026 04:54:53,Li e concordo em participar,(Ex-)coordenação,Feminino,40 anos ou mais,Mais de 10 anos,4,5,3,4,4,4,4,4
16/03/2026 04:56:34,Li e concordo em participar,(Ex-)coordenação,Masculino,40 anos ou mais,De 2 a 5 anos,5,4,3,5,4,4,5,4
16/03/2026 04:57:59,Li e concordo em participar,(Ex-)coordenação,Masculino,40 anos ou mais,Mais de 10 anos,5,4,4,4,3,4,4,4
